Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8069552874378992,0.841778397788628,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.48434401941894756
Decision Tree,0.8005677785663591,0.8219005915936863,0.6666666666666666,0.49732620320855614,0.5696784073506891,0.4515038907319239
kNN,0.7700496806245565,0.8083003952569171,0.5706214689265536,0.5401069518716578,0.554945054945055,0.4003534606393684
Naive Bayes,0.6557842441447835,0.809576584256891,0.4268774703557312,0.8663101604278075,0.5719329214474845,0.39507817633890707
Random Forest (Ensemble),0.7629524485450674,0.8406197525123356,0.5401606425702812,0.7192513368983957,0.6169724770642202,0.45999949889867126
